mission,object_id,source_id_raw,label,period_d,dur_h,depth_ppm,impact,ror,prad_re,a_au,a_over_rstar,insol_earth,teq_k,teff_k,logg_cgs,radius_rsun,mass_msun,feh_dex,mes,snr,fpflag_nt,fpflag_ss,fpflag_co,fpflag_ec,epoch_bjd_raw,epoch_bjd
KEPLER,6422070,6422070,1,3.76181843,3.5176,510.6,0.926,,2.66,,,372.62,1121.0,5653.0,4.472,0.949,,,,35.9,0.0,0.0,0.0,0.0,171.90364,2455004.90364
KEPLER,6428700,6428700,1,8.20396958,2.9667,1024.4,0.823,,3.01,,,71.5,742.0,5015.0,4.499,0.826,,,,54.4,0.0,0.0,0.0,0.0,169.69138,2455002.69138
KEPLER,5794379,5794379,1,12.71809866,3.0957,1149.4,0.427,,2.31,,,23.6,562.0,4702.0,4.592,0.686,,,,52.7,0.0,0.0,0.0,0.0,175.35526,2455008.35526
KEPLER,5881688,5881688,1,4.190425659,2.8589,2877.4,0.458,,6.21,,,547.9,1234.0,6073.0,4.392,1.135,,,,240.6,0.0,0.0,0.0,0.0,171.44122,2455004.44122
KEPLER,6022556,6022556,1,3.709870784,3.0694,2020.3,0.023,,4.35,,,415.1,1151.0,5727.0,4.463,0.978,,,,116.1,0.0,0.0,0.0,0.0,171.987982,2455004.987982
KEPLER,6032497,6032497,1,16.3297527,6.271,1187.5,0.791,,3.75,,,66.08,727.0,5878.0,4.444,0.987,,,,74.6,0.0,0.0,0.0,0.0,177.29506,2455010.29506
KEPLER,6061119,6061119,1,27.807566216,4.21587,25391.0,0.782,,13.84,,,22.24,554.0,5862.0,4.584,0.785,,,,748.1,0.0,0.0,0.0,0.0,186.713552,2455019.713552
KEPLER,6191521,6191521,1,80.8723469,11.195,3604.6,0.527,,7.59,,,9.88,452.0,5510.0,4.222,1.238,,,,160.9,0.0,0.0,0.0,0.0,203.895,2455036.895
KEPLER,6267425,6267425,0,3.166465862,2.9381,4357.2,1.266,,26.82,,,196.31,954.0,4968.0,4.575,0.704,,,,122.1,0.0,1.0,1.0,0.0,172.002627,2455005.002627
KEPLER,3531558,3531558,1,24.99324319,5.9409,269.6,0.686,,2.29,,,60.88,712.0,5718.0,4.181,1.317,,,,62.0,0.0,0.0,0.0,0.0,138.68167,2454971.68167
KEPLER,6276477,6276477,1,10.35533116,3.1775,750.6,0.029,,2.47,,,86.22,777.0,5501.0,4.462,0.918,,,,49.2,0.0,0.0,0.0,0.0,170.93729,2455003.93729
KEPLER,6863998,6863998,1,16.08518937,3.984,1442.4,0.867,,3.68,,,33.43,613.0,5239.0,4.523,0.826,,,,62.6,0.0,0.0,0.0,0.0,180.28319,2455013.28319
KEPLER,6867155,6867155,1,235.9986399,8.2284,20715.0,0.778,,10.59,,,0.29,188.0,4245.0,4.627,0.657,,,,271.8,0.0,0.0,0.0,0.0,208.399822,2455041.399822
KEPLER,6948054,6948054,1,7.49018305,2.7297,1123.6,0.02,,2.56,,,76.06,753.0,5103.0,4.562,0.787,,,,53.0,0.0,0.0,0.0,0.0,174.95037,2455007.95037
KEPLER,6435936,6435936,1,56.0560754,4.685,1626.0,0.018,,1.94,,,0.69,233.0,3593.0,4.757,0.491,,,,27.4,0.0,0.0,0.0,0.0,201.16578,2455034.16578
KEPLER,6522242,6522242,1,41.408316686,5.0264,22839.0,0.377,,11.38,,,9.93,453.0,5522.0,4.586,0.747,,,,907.8,0.0,0.0,0.0,0.0,195.78745,2455028.78745
KEPLER,6526710,6526710,1,39.74893077,7.3051,15179.0,0.881,,14.21,,,21.87,552.0,6122.0,4.487,0.964,,,,561.1,0.0,0.0,0.0,0.0,172.854644,2455005.854644
KEPLER,6587280,6587280,1,5.715425977,2.5242,908.1,0.348,,2.47,,,123.03,850.0,5237.0,4.572,0.826,,,,59.4,0.0,0.0,0.0,0.0,174.87931,2455007.87931
KEPLER,9471974,9471974,1,49.18394185,11.3364,1646.2,0.035,,8.2,,,47.4,669.0,5626.0,3.907,2.057,,,,355.7,0.0,0.0,0.0,0.0,141.911924,2454974.911924
