mission,object_id,source_id_raw,label,period_d,dur_h,depth_ppm,impact,ror,prad_re,a_au,a_over_rstar,insol_earth,teq_k,teff_k,logg_cgs,radius_rsun,mass_msun,feh_dex,mes,snr,fpflag_nt,fpflag_ss,fpflag_co,fpflag_ec,epoch_bjd_raw,epoch_bjd,fpflag_sum
KEPLER,8767034,8767034,0,0.58640848,2.616,61.3,0.352,NA,0.48,0.07015,NA,1029.91,1444.0,4556.0,4.676,0.615,0.8805000000000001,-0.06,NA,23.6,1.0,0.0,1.0,0.0,131.55583,2454964.55583,2.0
KEPLER,8773948,8773948,0,33.46947449,11.8874,164610.0,0.315,NA,127.38,0.07015,NA,211.38,972.0,5934.0,3.581,3.075,0.8805000000000001,-0.06,NA,1255.2,0.0,1.0,0.0,0.0,154.008513,2454987.008513,1.0
KEPLER,8784288,8784288,0,1.827558898,4.72808,314680.0,0.093,NA,118.28,0.07015,NA,5331.71,2178.0,5977.0,3.854,2.077,0.8805000000000001,-0.06,NA,920.8,0.0,1.0,0.0,0.0,132.26554,2454965.26554,1.0
KEPLER,8804358,8804358,0,62.519211,2.523,277.6,0.081,NA,1.9,0.07015,NA,17.29,520.0,6343.0,4.411,1.137,0.8805000000000001,-0.06,NA,6.7,1.0,0.0,0.0,0.0,146.4454,2454979.4454,1.0
KEPLER,8807057,8807057,1,97.991569,4.665,126.8,0.711,NA,1.41,0.07015,NA,11.21,467.0,6499.0,4.378,1.169,0.8805000000000001,-0.06,NA,9.0,0.0,0.0,0.0,0.0,134.675,2454967.675,0.0
KEPLER,8508493,8508493,0,349.85525,5.42,842.0,0.485,NA,2.63,0.07015,NA,0.94,251.0,5941.0,4.533,0.885,0.8805000000000001,-0.06,NA,7.9,1.0,0.0,1.0,0.0,285.6453,2455118.6453,2.0
KEPLER,9652632,9652632,0,2.488812012,5.94523,131000.0,0.931,NA,83.26,0.07015,NA,2776.19,1852.0,6499.0,4.084,1.497,0.8805000000000001,-0.06,NA,3290.5,0.0,1.0,0.0,0.0,132.1282609,2454965.1282609,1.0
KEPLER,9655424,9655424,0,0.51811818,0.3969,1445.0,0.021,NA,1.09,0.07015,NA,7376.27,2360.0,6240.0,4.502,0.929,0.8805000000000001,-0.06,NA,7.8,1.0,0.0,1.0,0.0,131.646,2454964.646,2.0
KEPLER,9657636,9657636,0,542.52829,11.06,75.2,0.3252,NA,1.07,0.07015,NA,1.19,266.0,6099.0,4.204,1.212,0.8805000000000001,-0.06,NA,11.2,1.0,0.0,0.0,0.0,278.392,2455111.392,1.0
KEPLER,9658089,9658089,1,1.057080807,1.82,60.6,0.966,NA,0.97,0.07015,NA,2518.85,1805.0,6000.0,4.487,0.946,0.8805000000000001,-0.06,NA,11.3,0.0,0.0,0.0,0.0,131.69304,2454964.69304,0.0
KEPLER,9665503,9665503,0,11.567974732,5.96595,416030.0,0.458,NA,45.65,0.07015,NA,36.66,628.0,5290.0,4.669,0.648,0.8805000000000001,-0.06,NA,2341.5,0.0,1.0,0.0,0.0,137.3409726,2454970.3409726,1.0
KEPLER,9673173,9673173,0,21.294733865,7.60143,123180.0,0.957,NA,71.55,0.07015,NA,83.71,771.0,6039.0,4.242,1.278,0.8805000000000001,-0.06,NA,2674.6,0.0,1.0,0.0,0.0,147.0967696,2454980.0967696,1.0
KEPLER,9674320,9674320,1,317.062416,7.438,442.9,0.673,NA,1.59,0.07015,NA,0.54,218.0,5366.0,4.625,0.715,0.8805000000000001,-0.06,NA,9.8,0.0,0.0,0.0,0.0,297.8371,2455130.8371,0.0
KEPLER,9693803,9693803,1,13.4959496,2.085,253.6,0.2136,NA,1.62,0.07015,NA,89.25,784.0,5962.0,4.464,1.019,0.8805000000000001,-0.06,NA,7.3,0.0,0.0,0.0,0.0,142.1992,2454975.1992,0.0
KEPLER,9711751,9711751,0,0.855763492,3.64361,131660.0,0.917,NA,72.82,0.07015,NA,8674.28,2464.0,6679.0,4.286,1.326,0.8805000000000001,-0.06,NA,598.4,0.0,1.0,0.0,0.0,132.351325,2454965.351325,1.0
KEPLER,10619109,10619109,0,2.045166206,6.84312,263640.0,0.661,NA,131.41,0.07015,NA,8125.86,2422.0,7128.0,3.95,2.135,0.8805000000000001,-0.06,NA,1488.6,0.0,1.0,0.0,0.0,132.3655682,2454965.3655682,1.0
KEPLER,10646620,10646620,0,2.41349123,11.29,57.0,0.728,NA,2.11,0.07015,NA,7197.15,2348.0,6628.0,3.783,2.595,0.8805000000000001,-0.06,NA,38.1,1.0,0.0,0.0,0.0,133.5687,2454966.5687,1.0
KEPLER,10649230,10649230,0,0.447820618,0.4199,58.3,0.317,NA,1.42,0.07015,NA,23149.06,3141.0,5927.0,3.988,1.607,0.8805000000000001,-0.06,NA,28.4,0.0,0.0,1.0,0.0,131.833123,2454964.833123,1.0
KEPLER,10659624,10659624,1,43.2675604,8.331,69.1,0.818,NA,1.61,0.07015,NA,45.99,664.0,5747.0,4.018,1.729,0.8805000000000001,-0.06,NA,10.0,0.0,0.0,0.0,0.0,136.4574,2454969.4574,0.0
KEPLER,10661913,10661913,0,1.23133063,3.7,78.9,0.051,NA,0.54,0.07015,NA,311.53,1072.0,4237.0,4.63,0.631,0.8805000000000001,-0.06,NA,17.6,0.0,1.0,1.0,1.0,131.82495,2454964.82495,3.0
